track_id,track_name,artist_s_name,artist_count,released_year,released_month,released_day,release_date_concat,in_spotify_playlists,in_spotify_charts,streams,in_shazam_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,soma_playlists,count_music_artsolo,bpm_categoria,danceability_categoria,valence_categoria,energy_categoria,acousticness_categoria,instrumentalness_categoria,liveness_categoria,speechiness_categoria
2828618,California Love  Original Version Explicit,Dr Dre 2Pac Roger,3,1995,12,28,1995-12-28,18773,0,579395142,0,128,17,1663,0,92,77,76,84,3,0,38,4,20564,0,baixa,alta,alta,alta,baixa,baixa,alta,baixa
5939675,Gangstas Paradise,Coolio LV,2,1995,7,11,1995-07-11,10624,17,1357608774,2,21,0,386,0,80,63,40,61,9,0,56,6,11031,0,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa
2102834,Sigue,Ed Sheeran J Balvin,2,1996,11,24,1996-11-24,1370,0,106933107,0,46,8,60,0,88,89,59,64,5,0,19,7,1476,0,baixa,alta,alta,baixa,baixa,baixa,alta,alta
6161550,Cupid  Twin Ver FIFTY FIFTY  Spe,sped up 8282,1,1997,1,1,1997-01-01,472,2,103762518,0,0,0,6,0,144,74,75,73,42,0,9,4,478,1,alta,alta,alta,alta,alta,alta,baixa,baixa
8262886,Iris,The Goo Goo Dolls,1,1998,3,31,1998-03-31,13101,9,1284942608,0,137,5,582,0,156,32,49,72,0,0,9,4,13820,1,alta,baixa,baixa,alta,baixa,baixa,baixa,baixa
3363172,Forgot About Dre,Eminem Dr Dre,2,1999,1,1,1999-01-01,19067,0,675039469,3,78,15,1674,0,134,93,61,74,9,0,17,8,20819,0,alta,alta,alta,alta,baixa,baixa,alta,alta
4527090,Yellow,Chris Molitor,1,1999,1,1,1999-01-01,31358,43,1755214421,0,196,2,4053,5,173,43,28,66,0,0,23,3,35607,1,alta,baixa,baixa,alta,baixa,baixa,alta,baixa
2285737,Still DRE,Dr Dre Snoop Dogg,2,1999,1,1,1999-01-01,33966,0,1210599487,0,141,78,6591,1,93,81,53,78,18,0,6,24,40698,0,baixa,alta,alta,alta,baixa,alta,baixa,alta
3333614,The Next Episode,Dr Dre Snoop Dogg,2,1999,1,1,1999-01-01,31762,0,843309044,953,142,40,5451,1,95,92,31,89,3,0,8,25,37355,0,baixa,alta,baixa,alta,baixa,baixa,baixa,alta
5694303,Stan,Eminem Dido,2,1999,11,21,1999-11-21,17115,0,918915401,0,83,63,4180,0,80,78,53,74,4,0,45,21,21378,0,baixa,alta,alta,alta,baixa,alta,alta,alta
7699876,My Only Wish This Year,Britney Spears,1,2000,11,7,2000-11-07,6952,0,261116938,0,115,53,286,0,147,67,69,72,17,0,19,3,7353,1,alta,baixa,alta,alta,baixa,baixa,alta,baixa
2059327,Sparks,Coldplay,1,2000,7,10,2000-07-10,10826,4,624101957,0,24,0,805,0,103,37,17,27,75,5,10,3,11655,3,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa
2670198,The Real Slim Shady,Eminem,1,2000,1,1,2000-01-01,20763,27,1424589568,17,81,53,3271,1,104,95,78,66,3,0,4,6,24115,4,baixa,alta,alta,baixa,baixa,baixa,baixa,alta
